year,month,day,ao_index_cdas
1999,11,1,2.049150705
1999,11,2,2.598373175
1999,11,3,2.408082962
1999,11,4,1.883968711
1999,11,5,1.181849003
1999,11,6,0.832240939
1999,11,7,-0.030591056
1999,11,8,-0.861251771
1999,11,9,-1.055993319
1999,11,10,-0.435200721
1999,11,11,0.130593076
1999,11,12,0.426960647
1999,11,13,1.040647626
1999,11,14,0.589385509
1999,11,15,-0.422998697
1999,11,16,-1.372617841
1999,11,17,-1.465591431
1999,11,18,-1.287750602
1999,11,19,-0.490314245
1999,11,20,0.914871335
1999,11,21,1.653885126
1999,11,22,1.464771271
1999,11,23,0.95134294
1999,11,24,0.551416636
1999,11,25,0.41700846
1999,11,26,0.876419008
1999,11,27,0.525881827
1999,11,28,0.283996314
1999,11,29,1.575732112
1999,11,30,2.738904715
1999,12,1,2.557334185
1999,12,2,1.68497932
1999,12,3,0.730370224
1999,12,4,0.368804127
1999,12,5,1.336179972
1999,12,6,2.538272142
1999,12,7,2.335239649
1999,12,8,1.129957438
1999,12,9,0.420130372
1999,12,10,0.747138202
1999,12,11,0.767124951
1999,12,12,-0.272198975
1999,12,13,-1.384825587
1999,12,14,-1.869968295
1999,12,15,-1.645622969
1999,12,16,-0.312110424
1999,12,17,0.419054836
1999,12,18,0.792526662
1999,12,19,0.880623877
1999,12,20,0.687402844
1999,12,21,0.728463233
1999,12,22,1.373082995
1999,12,23,2.664356947
1999,12,24,3.57328248
1999,12,25,3.555476665
1999,12,26,2.635956526
1999,12,27,1.189024687
1999,12,28,0.075283207
1999,12,29,0.301900387
1999,12,30,0.997122228
1999,12,31,2.178211927
2000,1,1,2.036495924
2000,1,2,1.531662107
2000,1,3,1.447426796
2000,1,4,1.191185713
2000,1,5,0.63836807
2000,1,6,1.420347452
2000,1,7,2.88116312
2000,1,8,3.15447998
2000,1,9,2.83079195
2000,1,10,2.378468513
2000,1,11,1.426565647
2000,1,12,0.708716393
2000,1,13,0.572572708
2000,1,14,1.028112888
2000,1,15,2.113894939
2000,1,16,1.607779145
2000,1,17,-0.036732133
2000,1,18,-1.091069102
2000,1,19,-1.008439064
2000,1,20,-0.817251861
2000,1,21,-0.949030459
2000,1,22,-0.698106229
2000,1,23,-0.147525236
2000,1,24,0.400306553
2000,1,25,0.381994367
2000,1,26,0.301764756
2000,1,27,1.497041225
2000,1,28,3.180802345
2000,1,29,3.885801315
2000,1,30,3.479346514
2000,1,31,2.625799656
2000,2,1,2.184646845
2000,2,2,2.511517525
2000,2,3,2.649596453
2000,2,4,2.884242773
2000,2,5,2.884141207
2000,2,6,2.73754096
2000,2,7,2.864830017
2000,2,8,3.131278515
2000,2,9,3.018755674
2000,2,10,2.518678904
2000,2,11,2.313493013
2000,2,12,1.735666752
2000,2,13,1.339164019
2000,2,14,1.409665585
2000,2,15,0.832157969
2000,2,16,-0.69107455
2000,2,17,-1.647471189
2000,2,18,-2.117705345
2000,2,19,-1.416594625
2000,2,20,-0.785329044
2000,2,21,-0.611786306
2000,2,22,-0.623354197
2000,2,23,-0.07712996
2000,2,24,0.118906111
2000,2,25,-0.059290376
2000,2,26,0.033436719
2000,2,27,0.813968837
2000,2,28,1.457021475
2000,2,29,0.67764312
2000,3,1,-0.172981471
2000,3,2,-0.786162376
2000,3,3,-0.756341577
2000,3,4,-0.191816419
2000,3,5,-0.313061982
2000,3,6,-0.25492835
2000,3,7,-0.071384974
2000,3,8,-0.318478137
