year,month,day,pna_index_cdas
1999,11,1,0.280000001
1999,11,2,0.284999996
1999,11,3,0.335999995
1999,11,4,0.172000006
1999,11,5,-0.050000001
1999,11,6,0.194000006
1999,11,7,0.55400002
1999,11,8,0.523000002
1999,11,9,0.375
1999,11,10,0.144999996
1999,11,11,0.123000003
1999,11,12,0.211999997
1999,11,13,0.093000002
1999,11,14,0.104999997
1999,11,15,0.273999989
1999,11,16,0.757000029
1999,11,17,1.174999952
1999,11,18,0.709999979
1999,11,19,0.386999995
1999,11,20,0.277999997
1999,11,21,0.268999994
1999,11,22,0.157000005
1999,11,23,-0.006
1999,11,24,-0.061000001
1999,11,25,-0.197999999
1999,11,26,-0.465000004
1999,11,27,-0.771000028
1999,11,28,-0.547999978
1999,11,29,0.109999999
1999,11,30,0.670000017
1999,12,1,0.552999973
1999,12,2,0.550999999
1999,12,3,0.671999991
1999,12,4,0.726000011
1999,12,5,0.48300001
1999,12,6,0.008
1999,12,7,-0.374000013
1999,12,8,-0.370999992
1999,12,9,-0.370999992
1999,12,10,-0.437999994
1999,12,11,-0.568000019
1999,12,12,-0.603999972
1999,12,13,-0.734000027
1999,12,14,-0.574999988
1999,12,15,-0.014
1999,12,16,0.370999992
1999,12,17,0.323000014
1999,12,18,0.238999993
1999,12,19,0.488000005
1999,12,20,0.672999978
1999,12,21,0.810000002
1999,12,22,1.16900003
1999,12,23,1.381000042
1999,12,24,1.067999959
1999,12,25,0.65200001
1999,12,26,0.407999992
1999,12,27,0.426999986
1999,12,28,0.32100001
1999,12,29,-0.137999997
1999,12,30,-0.546000004
1999,12,31,-0.823000014
2000,1,1,-0.995000005
2000,1,2,-0.972000003
2000,1,3,-0.64200002
2000,1,4,-0.449999988
2000,1,5,-0.300000012
2000,1,6,-0.207000002
2000,1,7,-0.379999995
2000,1,8,-0.745000005
2000,1,9,-1.220999956
2000,1,10,-1.546000004
2000,1,11,-1.687999964
2000,1,12,-1.899000049
2000,1,13,-1.950999975
2000,1,14,-1.713000059
2000,1,15,-1.699000001
2000,1,16,-1.618000031
2000,1,17,-1.43900001
2000,1,18,-1.213999987
2000,1,19,-1.024999976
2000,1,20,-0.759000003
2000,1,21,-0.419
2000,1,22,-0.115000002
2000,1,23,0.232999995
2000,1,24,0.619000018
2000,1,25,0.878000021
2000,1,26,0.836000025
2000,1,27,0.717000008
2000,1,28,0.632000029
2000,1,29,0.578000009
2000,1,30,0.870999992
2000,1,31,1.174999952
2000,2,1,1.253000021
2000,2,2,1.248000026
2000,2,3,1.412999988
2000,2,4,1.562999964
2000,2,5,1.613999963
2000,2,6,1.498000026
2000,2,7,1.368000031
2000,2,8,1.06400001
2000,2,9,0.771000028
2000,2,10,0.771000028
2000,2,11,0.779999971
2000,2,12,0.822000027
2000,2,13,0.82099998
2000,2,14,0.626999974
2000,2,15,0.412999988
2000,2,16,0.648000002
2000,2,17,0.862999976
2000,2,18,0.915000021
2000,2,19,0.704999983
2000,2,20,0.414000005
2000,2,21,0.342000008
2000,2,22,0.483999997
2000,2,23,0.67900002
2000,2,24,0.686999977
2000,2,25,0.574000001
2000,2,26,0.656000018
2000,2,27,0.660000026
2000,2,28,0.593999982
2000,2,29,0.626999974
2000,3,1,1.324000001
2000,3,2,1.054999948
2000,3,3,0.93900001
2000,3,4,0.55400002
2000,3,5,0.379999995
2000,3,6,0.513999999
2000,3,7,0.552999973
2000,3,8,0.60799998
2000,3,9,0.500999987
2000,3,10,0.535000026
2000,3,11,0.568000019
2000,3,12,0.51700002
2000,3,13,0.528999984
2000,3,14,0.55400002
2000,3,15,0.474000007
2000,3,16,0.535000026
2000,3,17,0.519999981
2000,3,18,0.587000012
2000,3,19,0.688000023
2000,3,20,0.834999979
2000,3,21,0.736000001
2000,3,22,0.519999981
2000,3,23,0.601999998
2000,3,24,0.541000009
2000,3,25,0.467999995
2000,3,26,0.549000025
2000,3,27,0.963
2000,3,28,1.355000019
2000,3,29,1.317000031
2000,3,30,0.904999971
2000,3,31,0.421000004
2000,11,1,0.609000027
2000,11,2,0.508000016
2000,11,3,0.268999994
2000,11,4,0.108999997
2000,11,5,-0.055
2000,11,6,0.104999997
2000,11,7,0.052999999
2000,11,8,-0.375
2000,11,9,-0.531000018
2000,11,10,-0.592999995
2000,11,11,-0.546000004
2000,11,12,-0.351000011
2000,11,13,0.077
2000,11,14,0.323000014
2000,11,15,0.474999994
2000,11,16,0.632000029
2000,11,17,0.639999986
2000,11,18,0.577000022
2000,11,19,0.773999989
2000,11,20,0.893000007
2000,11,21,1.085000038
2000,11,22,1.080000043
2000,11,23,1.108999968
2000,11,24,0.98299998
2000,11,25,0.778999984
2000,11,26,0.449999988
2000,11,27,0.261999995
2000,11,28,0.200000003
2000,11,29,0.151999995
2000,11,30,0.388999999
2000,12,1,0.735000014
2000,12,2,0.721000016
2000,12,3,0.620000005
2000,12,4,0.768999994
2000,12,5,0.861000001
2000,12,6,0.667999983
2000,12,7,0.324000001
2000,12,8,-0.015
2000,12,9,0.021
2000,12,10,0.071999997
2000,12,11,0.360000014
2000,12,12,0.407000005
2000,12,13,0.243000001
2000,12,14,0.033
2000,12,15,0.246000007
2000,12,16,0.569999993
2000,12,17,0.72299999
2000,12,18,0.995999992
2000,12,19,1.143000007
2000,12,20,1.162999988
2000,12,21,0.996999979
2000,12,22,0.910000026
2000,12,23,0.852999985
2000,12,24,0.75999999
2000,12,25,0.838999987
2000,12,26,0.921000004
2000,12,27,0.927999973
2000,12,28,0.963
2000,12,29,1.08099997
2000,12,30,1.075000048
2000,12,31,0.894999981
2001,1,1,0.69599998
2001,1,2,1.105999947
2001,1,3,1.476999998
2001,1,4,1.27699995
2001,1,5,1.034999967
2001,1,6,1.065000057
2001,1,7,1.146000028
2001,1,8,1.121000051
2001,1,9,0.834999979
2001,1,10,0.351999998
2001,1,11,0.43900001
2001,1,12,0.910000026
2001,1,13,0.972000003
2001,1,14,0.97299999
2001,1,15,1.050999999
2001,1,16,1.062000036
2001,1,17,1.251000047
2001,1,18,1.378000021
2001,1,19,1.258000016
2001,1,20,1.103999972
2001,1,21,0.967999995
2001,1,22,0.873000026
2001,1,23,0.824000001
2001,1,24,0.656000018
2001,1,25,0.216999993
2001,1,26,-0.097999997
2001,1,27,-0.165999994
2001,1,28,-0.261999995
2001,1,29,-0.133000001
2001,1,30,0.072999999
2001,1,31,0.531000018
2001,2,1,0.600000024
2001,2,2,0.451999992
2001,2,3,0.479999989
2001,2,4,0.428000003
2001,2,5,0.194999993
2001,2,6,-0.218999997
2001,2,7,-0.541999996
2001,2,8,-0.795000017
2001,2,9,-0.82099998
2001,2,10,-0.528999984
2001,2,11,-0.097999997
2001,2,12,0.191
2001,2,13,0.268999994
2001,2,14,-0.033
2001,2,15,-0.037999999
2001,2,16,0.204999998
2001,2,17,0.742999971
2001,2,18,0.970000029
2001,2,19,0.899999976
2001,2,20,0.769999981
2001,2,21,0.579999983
2001,2,22,0.412
2001,2,23,0.331999987
2001,2,24,0.026000001
2001,2,25,0.083999999
2001,2,26,0.564999998
2001,2,27,0.772000015
2001,2,28,0.340999991
2001,3,1,0.270000011
2001,3,2,0.209999993
2001,3,3,0.338
2001,3,4,0.483999997
2001,3,5,0.790000021
2001,3,6,1.17900002
2001,3,7,1.217000008
2001,3,8,0.939999998
2001,3,9,0.652999997
2001,3,10,0.476000011
2001,3,11,0.381999999
2001,3,12,0.134000003
2001,3,13,-0.165999994
2001,3,14,-0.128999993
2001,3,15,-0.037
2001,3,16,-0.162
2001,3,17,-0.172999993
2001,3,18,-0.101000004
2001,3,19,0.074000001
2001,3,20,-0.129999995
2001,3,21,-0.510999978
2001,3,22,-0.635999978
2001,3,23,-0.375
2001,3,24,0.090999998
2001,3,25,0.335000008
2001,3,26,0.536000013
2001,3,27,0.578000009
2001,3,28,0.504999995
2001,3,29,0.305000007
2001,3,30,0.199000001
2001,3,31,0.356999993
2001,4,1,0.372000009
2001,11,1,0.495999992
2001,11,2,0.266000003
2001,11,3,0.222000003
2001,11,4,0.419
2001,11,5,0.307000011
2001,11,6,0.104000002
2001,11,7,-0.136999995
2001,11,8,0.104000002
2001,11,9,0.194000006
2001,11,10,0.460000008
2001,11,11,0.677999973
2001,11,12,0.589999974
2001,11,13,0.601999998
2001,11,14,1.128000021
2001,11,15,1.582999945
2001,11,16,1.671000004
2001,11,17,1.508000016
2001,11,18,1.491999984
2001,11,19,1.549000025
2001,11,20,1.569000006
2001,11,21,1.274999976
2001,11,22,0.920000017
2001,11,23,0.549000025
2001,11,24,0.112999998
2001,11,25,-0.363000005
2001,11,26,-0.451999992
2001,11,27,-0.193000004
2001,11,28,0.046
2001,11,29,-0.155000001
2001,11,30,-0.363000005
2001,12,1,-0.717999995
2001,12,2,-0.83099997
2001,12,3,-0.964999974
2001,12,4,-0.984000027
2001,12,5,-0.791000009
2001,12,6,-0.662
2001,12,7,0.041999999
2001,12,8,0.483999997
2001,12,9,0.31400001
2001,12,10,0.017000001
2001,12,11,-0.027000001
2001,12,12,-0.123999998
2001,12,13,-0.354000002
2001,12,14,-0.317000002
2001,12,15,0.059
2001,12,16,0.169
2001,12,17,0.177000001
2001,12,18,0.287999988
2001,12,19,0.463
2001,12,20,0.583000004
2001,12,21,0.656000018
2001,12,22,0.588999987
2001,12,23,0.962000012
2001,12,24,1.192000031
2001,12,25,1.231999993
2001,12,26,1.286999941
2001,12,27,1.159000039
2001,12,28,1.034000039
2001,12,29,0.718999982
2001,12,30,0.566999972
2001,12,31,0.721000016
2002,1,1,1.075000048
2002,1,2,1.15199995
2002,1,3,1.218999982
2002,1,4,1.608999968
2002,1,5,1.575999975
2002,1,6,1.567999959
2002,1,7,1.532999992
2002,1,8,1.22300005
2002,1,9,0.989000022
2002,1,10,0.941999972
2002,1,11,0.879999995
2002,1,12,0.791999996
2002,1,13,0.638000011
2002,1,14,0.416000009
2002,1,15,-0.021
2002,1,16,-0.126000002
2002,1,17,-0.199000001
2002,1,18,-0.663999975
2002,1,19,-1.18900001
2002,1,20,-1.549999952
2002,1,21,-1.603999972
2002,1,22,-1.649999976
2002,1,23,-1.782999992
2002,1,24,-1.70599997
2002,1,25,-1.519999981
2002,1,26,-1.578999996
2002,1,27,-1.626999974
2002,1,28,-1.470000029
2002,1,29,-1.024000049
2002,1,30,-0.592000008
2002,1,31,-0.287999988
2002,2,1,-0.216000006
2002,2,2,-0.035999998
2002,2,3,0.234999999
2002,2,4,0.317999989
2002,2,5,0.109999999
2002,2,6,-0.177000001
2002,2,7,-0.323000014
2002,2,8,-0.344999999
2002,2,9,0.104999997
2002,2,10,0.419999987
2002,2,11,0.356999993
2002,2,12,0.524999976
2002,2,13,0.725000024
2002,2,14,0.797999978
2002,2,15,0.874000013
2002,2,16,0.862999976
2002,2,17,0.455000013
2002,2,18,0.111000001
2002,2,19,-0.001
2002,2,20,-0.017999999
2002,2,21,0.368999988
2002,2,22,0.395000011
2002,2,23,0.287999988
2002,2,24,0.206
2002,2,25,0.211999997
2002,2,26,0.082000002
2002,2,27,-0.131999999
2002,2,28,-0.400000006
2002,3,1,-1.217000008
2002,3,2,-0.843999982
2002,3,3,-0.640999973
2002,3,4,-0.763999999
2002,3,5,-0.725000024
2002,3,6,-0.674000025
2002,3,7,-0.702000022
2002,3,8,-0.462000012
2002,3,9,-0.089000002
2002,3,10,0.185000002
2002,3,11,0.237000003
2002,3,12,0.061999999
2002,3,13,-0.189999998
2002,3,14,-0.513000011
2002,3,15,-0.862999976
2002,3,16,-1.021999955
2002,3,17,-1.001999974
2002,3,18,-0.787
2002,3,19,-0.458999991
2002,3,20,-0.301999986
2002,3,21,-0.437000006
2002,3,22,-0.34799999
2002,3,23,-0.42899999
2002,3,24,-0.388000011
2002,3,25,-0.224999994
2002,3,26,-0.469999999
2002,3,27,-0.601000011
2002,3,28,-0.842000008
2002,3,29,-0.984000027
2002,3,30,-0.89200002
2002,3,31,-0.867999971
2002,4,1,-0.745999992
2002,11,1,0.144999996
2002,11,2,0.250999987
2002,11,3,0.717000008
2002,11,4,1.003999949
2002,11,5,1.294999957
2002,11,6,1.335999966
2002,11,7,0.971000016
2002,11,8,0.432000011
2002,11,9,-0.195999995
2002,11,10,-0.238000005
2002,11,11,-0.017999999
2002,11,12,0.254999995
2002,11,13,0.425000012
2002,11,14,0.592999995
2002,11,15,0.953999996
2002,11,16,1.177999973
2002,11,17,1.202000022
2002,11,18,0.901000023
2002,11,19,0.968999982
2002,11,20,1.30400002
2002,11,21,1.373999953
2002,11,22,1.325999975
2002,11,23,1.059999943
2002,11,24,0.837000012
2002,11,25,0.913999975
2002,11,26,1.039999962
2002,11,27,1.074000001
2002,11,28,0.985000014
2002,11,29,0.788999975
2002,11,30,0.725000024
2002,12,1,1.067000031
2002,12,2,1.008000016
2002,12,3,0.944000006
2002,12,4,0.748000026
2002,12,5,0.671999991
2002,12,6,0.731000006
2002,12,7,0.768999994
2002,12,8,1.141000032
2002,12,9,1.271999955
2002,12,10,1.246999979
2002,12,11,1.425999999
2002,12,12,1.76699996
2002,12,13,1.919999957
2002,12,14,1.690999985
2002,12,15,1.45599997
2002,12,16,1.034000039
2002,12,17,0.629000008
2002,12,18,0.426999986
2002,12,19,0.254999995
2002,12,20,0.296000004
2002,12,21,0.588
2002,12,22,0.873000026
2002,12,23,0.953000009
2002,12,24,0.736999989
2002,12,25,0.690999985
2002,12,26,0.419
2002,12,27,0.388000011
2002,12,28,0.497999996
2002,12,29,0.542999983
2002,12,30,0.490999997
2002,12,31,0.555000007
2003,1,1,0.800000012
2003,1,2,1.001000047
2003,1,3,1.085999966
2003,1,4,1.052999973
2003,1,5,1.230000019
2003,1,6,1.389999986
2003,1,7,1.156000018
2003,1,8,0.736999989
2003,1,9,0.611999989
2003,1,10,0.485000014
2003,1,11,0.338
2003,1,12,0.254999995
2003,1,13,0.323000014
2003,1,14,0.351999998
2003,1,15,0.423999995
2003,1,16,0.577000022
2003,1,17,0.95599997
2003,1,18,1.152999997
2003,1,19,0.97299999
2003,1,20,0.578999996
2003,1,21,0.437000006
2003,1,22,0.569999993
2003,1,23,0.750999987
2003,1,24,0.781000018
2003,1,25,1
2003,1,26,0.996999979
2003,1,27,0.395000011
2003,1,28,-0.074000001
2003,1,29,-0.02
2003,1,30,0.144999996
2003,1,31,0.419999987
2003,2,1,0.342999995
2003,2,2,0.294
2003,2,3,0.303000003
2003,2,4,0.474999994
2003,2,5,0.717999995
2003,2,6,0.781000018
2003,2,7,0.726999998
2003,2,8,0.453000009
2003,2,9,0.238999993
2003,2,10,0.256999999
2003,2,11,0.284000009
2003,2,12,0.307000011
2003,2,13,0.321999997
2003,2,14,0.518000007
2003,2,15,0.702000022
2003,2,16,0.640999973
2003,2,17,0.638999999
2003,2,18,0.698000014
2003,2,19,0.714999974
2003,2,20,0.653999984
2003,2,21,0.708000004
2003,2,22,1.02699995
2003,2,23,1.113000035
2003,2,24,0.882000029
2003,2,25,0.602999985
2003,2,26,0.597000003
2003,2,27,0.552999973
2003,2,28,0.476999998
2003,3,1,-0.381999999
2003,3,2,-0.694999993
2003,3,3,-1.110000014
2003,3,4,-1.883000016
2003,3,5,-2.230000019
2003,3,6,-1.914000034
2003,3,7,-1.416000009
2003,3,8,-1.02699995
2003,3,9,-0.813000023
2003,3,10,-0.321999997
2003,3,11,-0.331999987
2003,3,12,-0.201000005
2003,3,13,0.504999995
2003,3,14,1.116999984
2003,3,15,1.251000047
2003,3,16,1.217000008
2003,3,17,1.389999986
2003,3,18,1.559999943
2003,3,19,1.424999952
2003,3,20,1.024000049
2003,3,21,0.842999995
2003,3,22,0.740999997
2003,3,23,0.80400002
2003,3,24,0.865999997
2003,3,25,0.610000014
2003,3,26,0.333999991
2003,3,27,0.405000001
2003,3,28,0.416999996
2003,3,29,-0.024
2003,3,30,-0.230000004
2003,3,31,-0.497999996
2003,4,1,-0.920000017
2003,11,1,-1.968000054
2003,11,2,-1.773000002
2003,11,3,-1.656000018
2003,11,4,-1.350000024
2003,11,5,-1.172000051
2003,11,6,-0.953000009
2003,11,7,-0.428000003
2003,11,8,-0.243000001
2003,11,9,-0.324000001
2003,11,10,-0.637000024
2003,11,11,-0.582000017
2003,11,12,-0.310000002
2003,11,13,0.123999998
2003,11,14,0.368000001
2003,11,15,0.171000004
2003,11,16,-0.171000004
2003,11,17,-0.549000025
2003,11,18,-0.851000011
2003,11,19,-1.18599999
2003,11,20,-1.353999972
2003,11,21,-1.320000052
2003,11,22,-1.391000032
2003,11,23,-1.207999945
2003,11,24,-1.277999997
2003,11,25,-1.644999981
2003,11,26,-1.450000048
2003,11,27,-0.841000021
2003,11,28,-0.518000007
2003,11,29,-0.610000014
2003,11,30,-0.704999983
2003,12,1,-0.116999999
2003,12,2,0.389999986
2003,12,3,0.476000011
2003,12,4,0.69599998
2003,12,5,0.783999979
2003,12,6,0.63499999
2003,12,7,0.546999991
2003,12,8,0.808000028
2003,12,9,1.008000016
2003,12,10,1.125
2003,12,11,1.021999955
2003,12,12,0.808000028
2003,12,13,0.683000028
2003,12,14,0.529999971
2003,12,15,0.389999986
2003,12,16,0.323000014
2003,12,17,0.423000008
2003,12,18,0.684000015
2003,12,19,0.980000019
2003,12,20,0.91900003
2003,12,21,0.675000012
2003,12,22,0.740999997
2003,12,23,0.762000024
2003,12,24,0.514999986
2003,12,25,0.050999999
2003,12,26,-0.409000009
2003,12,27,-0.518000007
2003,12,28,-0.317000002
2003,12,29,-0.204999998
2003,12,30,-0.35800001
2003,12,31,-0.748000026
2004,1,1,-1.343000054
2004,1,2,-1.690000057
2004,1,3,-1.736999989
2004,1,4,-1.432000041
2004,1,5,-0.878000021
2004,1,6,-0.474999994
2004,1,7,-0.165000007
2004,1,8,0.153999999
2004,1,9,0.646000028
2004,1,10,0.90200001
2004,1,11,0.721000016
2004,1,12,0.351999998
2004,1,13,0.054000001
2004,1,14,0.056000002
2004,1,15,0.305000007
2004,1,16,0.363999993
2004,1,17,0.381000012
2004,1,18,0.578999996
2004,1,19,0.749000013
2004,1,20,0.671999991
2004,1,21,0.589999974
2004,1,22,0.50999999
2004,1,23,0.5
2004,1,24,0.312000006
2004,1,25,0.224999994
2004,1,26,0.164000005
2004,1,27,0.127000004
2004,1,28,0.228
2004,1,29,0.368999988
2004,1,30,0.40200001
2004,1,31,0.363000005
2004,2,1,0.286000013
2004,2,2,0.160999998
2004,2,3,0.030999999
2004,2,4,0.195999995
2004,2,5,0.592999995
2004,2,6,0.638000011
2004,2,7,0.788999975
2004,2,8,0.926999986
2004,2,9,1.067999959
2004,2,10,1.402999997
2004,2,11,1.583999991
2004,2,12,1.496999979
2004,2,13,1.483999968
2004,2,14,1.416000009
2004,2,15,1.416000009
2004,2,16,1.386000037
2004,2,17,1.27699995
2004,2,18,1.347000003
2004,2,19,1.327000022
2004,2,20,1.120000005
2004,2,21,0.839999974
2004,2,22,0.458999991
2004,2,23,0.284000009
2004,2,24,0.333999991
2004,2,25,0.238000005
2004,2,26,-0.006
2004,2,27,-0.085000001
2004,2,28,0.054000001
2004,2,29,-0.178000003
2004,3,1,-0.231999993
2004,3,2,-0.340999991
2004,3,3,-0.589999974
2004,3,4,-0.639999986
2004,3,5,-0.275000006
2004,3,6,-0.011
2004,3,7,0.549000025
2004,3,8,1.110000014
2004,3,9,1.213000059
2004,3,10,0.824000001
2004,3,11,0.65200001
2004,3,12,0.425000012
2004,3,13,0.226999998
2004,3,14,-0.002
2004,3,15,-0.241999999
2004,3,16,-0.49000001
2004,3,17,-0.615999997
2004,3,18,-0.819000006
2004,3,19,-0.912
2004,3,20,-0.70599997
2004,3,21,-0.435000002
2004,3,22,-0.449999988
2004,3,23,-0.59799999
2004,3,24,-0.532000005
2004,3,25,-0.186000004
2004,3,26,0.289000005
2004,3,27,0.584999979
2004,3,28,0.922999978
2004,3,29,1.276000023
2004,3,30,1.51699996
2004,3,31,1.24000001
2004,11,1,0.100000001
2004,11,2,0.289999992
2004,11,3,0.164000005
2004,11,4,-0.068000004
2004,11,5,-0.194000006
2004,11,6,-0.158999994
2004,11,7,-0.028999999
2004,11,8,0.077
2004,11,9,-0.083999999
2004,11,10,-0.074000001
2004,11,11,-0.050000001
2004,11,12,0.094999999
2004,11,13,0.345999986
2004,11,14,0.688000023
2004,11,15,0.671999991
2004,11,16,0.423000008
2004,11,17,0.56400001
2004,11,18,0.485000014
2004,11,19,0.460999995
2004,11,20,0.584999979
2004,11,21,0.358999997
2004,11,22,0.128999993
2004,11,23,0.275000006
2004,11,24,0.596000016
2004,11,25,0.476999998
2004,11,26,0.097000003
2004,11,27,-0.074000001
2004,11,28,-0.088
2004,11,29,-0.259000003
2004,11,30,-0.379999995
2004,12,1,0.135000005
2004,12,2,0.272000015
2004,12,3,0.025
2004,12,4,-0.160999998
2004,12,5,-0.039000001
